order_id,order_date,product,category,quantity,price,region
1064,2024-01-02,Smartphone,Electronics,3,445,East
1264,2024-01-02,Tablet,Electronics,2,275,North
1207,2024-01-02,Smartphone,Electronics,4,413,East
1129,2024-01-05,Tablet,Electronics,4,147,North
1270,2024-01-09,Laptop,Electronics,3,308,West
1098,2024-01-09,Headphones,Electronics,1,83,West
1152,2024-01-13,Headphones,Electronics,2,157,East
1051,2024-01-14,Smartphone,Electronics,5,1158,South
1093,2024-01-15,Camera,Electronics,5,887,West
1135,2024-01-15,Smartphone,Electronics,2,118,South
1045,2024-01-21,Laptop,Electronics,4,872,North
1007,2024-01-21,Laptop,Electronics,1,1059,South
1026,2024-01-22,Tablet,Electronics,3,492,East
1110,2024-01-28,Tablet,Electronics,1,504,East
1165,2024-01-28,Headphones,Electronics,1,388,North
1150,2024-01-29,Headphones,Electronics,3,1112,North
1115,2024-02-02,Tablet,Electronics,4,683,West
1124,2024-02-04,Camera,Electronics,1,725,West
1059,2024-02-04,Headphones,Electronics,1,795,East
1151,2024-02-05,Laptop,Electronics,3,180,South
1268,2024-02-06,Smartwatch,Electronics,3,802,West
1250,2024-02-08,Smartphone,Electronics,1,866,East
1091,2024-02-10,Laptop,Electronics,5,854,East
1109,2024-02-10,Laptop,Electronics,3,870,West
1137,2024-02-11,Smartphone,Electronics,3,1007,West
1167,2024-02-13,Smartwatch,Electronics,5,1154,North
1071,2024-02-13,Headphones,Electronics,5,903,South
1161,2024-02-14,Camera,Electronics,1,1090,South
1116,2024-02-17,Smartwatch,Electronics,2,179,West
1030,2024-02-18,Smartwatch,Electronics,2,628,West
1062,2024-02-19,Camera,Electronics,2,520,North
1037,2024-02-20,Tablet,Electronics,2,863,East
1143,2024-02-21,Smartwatch,Electronics,1,762,East
1198,2024-02-21,Smartphone,Electronics,5,669,East
1086,2024-02-22,Headphones,Electronics,1,715,East
1055,2024-02-22,Smartwatch,Electronics,1,131,South
1216,2024-02-22,Smartphone,Electronics,2,943,South
1065,2024-02-23,Camera,Electronics,3,310,East
1278,2024-02-23,Camera,Electronics,1,739,South
1210,2024-02-23,Headphones,Electronics,3,1031,East
1039,2024-02-24,Smartwatch,Electronics,1,501,West
1031,2024-02-28,Smartphone,Electronics,2,1124,East
1263,2024-02-29,Smartphone,Electronics,3,1180,South
1117,2024-03-02,Laptop,Electronics,5,1069,West
1162,2024-03-02,Smartwatch,Electronics,1,379,South
1102,2024-03-03,Headphones,Electronics,1,391,East
1139,2024-03-03,Headphones,Electronics,1,531,North
1095,2024-03-05,Smartphone,Electronics,4,91,West
1159,2024-03-06,Smartwatch,Electronics,3,866,South
1300,2024-03-08,Smartphone,Electronics,5,1197,South
1005,2024-03-12,Smartphone,Electronics,1,818,North
1282,2024-03-15,Smartwatch,Electronics,2,52,South
1061,2024-03-21,Headphones,Electronics,4,756,South
1204,2024-03-21,Headphones,Electronics,3,1035,South
1104,2024-03-21,Smartwatch,Electronics,5,695,North
1157,2024-03-26,Smartwatch,Electronics,1,324,South
1012,2024-03-28,Camera,Electronics,2,163,West
1049,2024-03-29,Camera,Electronics,3,824,North
1057,2024-04-01,Laptop,Electronics,3,864,East
1193,2024-04-05,Tablet,Electronics,5,984,West
1144,2024-04-05,Camera,Electronics,5,345,West
1234,2024-04-06,Smartphone,Electronics,4,315,East
1230,2024-04-07,Headphones,Electronics,5,797,East
1257,2024-04-08,Tablet,Electronics,2,60,South
1120,2024-04-08,Tablet,Electronics,1,843,West
1289,2024-04-08,Laptop,Electronics,1,629,South
1272,2024-04-08,Laptop,Electronics,4,1120,North
1013,2024-04-09,Camera,Electronics,4,996,North
1202,2024-04-10,Smartwatch,Electronics,5,854,East
1126,2024-04-10,Tablet,Electronics,3,236,North
1008,2024-04-12,Tablet,Electronics,1,243,South
1001,2024-04-12,Laptop,Electronics,1,478,East
1284,2024-04-13,Smartphone,Electronics,2,830,East
1066,2024-04-15,Headphones,Electronics,5,854,South
1004,2024-04-16,Tablet,Electronics,3,67,East
1166,2024-04-17,Smartphone,Electronics,2,710,East
1262,2024-04-21,Laptop,Electronics,2,934,South
1288,2024-04-21,Smartwatch,Electronics,4,378,West
1196,2024-04-22,Headphones,Electronics,4,664,West
1206,2024-04-22,Tablet,Electronics,3,1032,South
1201,2024-04-22,Smartwatch,Electronics,4,180,East
1203,2024-04-22,Tablet,Electronics,2,985,North
1283,2024-04-22,Smartphone,Electronics,4,209,West
1281,2024-04-25,Camera,Electronics,3,265,East
1178,2024-04-25,Tablet,Electronics,4,450,East
1279,2024-04-29,Tablet,Electronics,1,899,South
1177,2024-04-30,Camera,Electronics,3,760,South
1009,2024-05-01,Smartphone,Electronics,3,551,South
1225,2024-05-02,Tablet,Electronics,3,78,North
1236,2024-05-03,Headphones,Electronics,1,970,North
1214,2024-05-05,Laptop,Electronics,3,542,West
